title,label
«Запад-2» должен был быть введен в эксплуатацию в начале 2016 года,1
«РусГидро» не впервые подвергается штрафу за нарушение правил ввода,1
Сдача второго этажа ЖК в Москве будет запущена в феврале,1
"По данным единого реестра строительных организаций, уже 30,5% жилья выросло",1
Квартиры для детей-сирот и детей-сирот предоставляются в микрорайон Заря,1
"ООО ""ВТУС"" заплатит более 400 тыс. руб. за задержку продажи",1
Сроки передачи объекта неоднократно переносились.,1
«В настоящее время просрочка введения в эксплуатацию новых корпусов «Новограда Павлино»,1
Сборка объективных данных и подробный анализ исполнения национальных проектов муниципальных образований,1
"В ЖК ""Квартал ""Европейский"" перенесли сроки аренды",1
В столичном акимате обвинили в сокращении сроков строительства нового храма,1
Coca-Кола перенесла сроки запуска безалкогольного напитка в США,1
Затянувшееся строительство сильно настораживает.,1
Ввод второй части магистрального нефтепровода «Транснефть» может быть задержан,1
Ввод первой очереди в эксплуатацию перенесён в октябре,1
Наумов: незаконное строительство спортзала в Москве может быть связано с недобросовестностью,1
При сдаче жилья в эксплуатацию могут возникать задержки,1
Проблема нарушения условий сдачи жилых домов в долевое строительство,1
"«В 2017 году конфликт стал назревать, ведь они именно потому, что они именно такие, именно потому, что они",1
Дом No 2 еще не сдан на стройку,1
Срок строительства Зоопарка в Москве продлили до 1 млрд руб.,1
"""Вчера руководство компании """"Кока Кола Эйч-Би-си"""", ООО """"Кока Кола Эйч-Би-си"""", выступило с заявлением",1
Строительство дома на Ленинской улице не будет по графику,1
Введен в эксплуатацию самой современной и дорогой истребитель США,1
Он напомнил о срыве сроков строительства ТЭЦ,1
Компания ArtСтройТехНО не завершила стройку и ввела в эксплуатацию,1
Банкротство Алтайского края привело к невыполнению обязательств перед правительством,1
Застройщик Тюмени может помотать и жителей Тюмени,1
В ЖК «Северный поток – 2» начали сдавать второй корпус ЖК «Северный поток – 2»,1
Депутаты призвали ждать аренды дома в новом корпусе,1
Семков поручил контролировать ход работы в регионе,1
Путин поручила Счетной Палате проверить несостоятельность удорожания российского ЦК,1
Строительство Международного терминала морского сообщения в Калининграде,1
"В Единой сети застройщиков рассказали о том, что они сдают дома",1
Задержка от продажи домов произошла из-за экономического ущерба,1
Строительство в новостройках «Балтийской волны» началось в феврале,1
«Ленстрортрест» задержал ввод ЖК «IQ G»,1
«РусГидро» оштрафован за недопуск мощности,1
«Нациmбио» не будет заниматься строительством завода Киров Плазма,1
В Департаменте здоровья РФ возбудили дело по делу о задержке ввода трубы,1
Квартира сдана в конце 2018 г.,1
ЕРЗ подтвердил задержки ЕРЗ в связи с задержками,1
Группа компаний «ВКБ-Недвижимость» перенесла переговоры с Краснодаром,1
Строительство жилого дома No19 в Ленинском районе пройдет в ближайшее время,1
В Васильково введено в эксплуатацию в июне 2016 года,1
Дания не выдала разрешения на строительство в ее территориальных водах,1
Проблемы с нарушениями условий сдачи жилых домов в долевое строительство,1
"По данным ЕЕР, 30 % жилья в настоящее время уже введено в эксплуатацию",1
«Норман» столкнулся с серьезными задержками по вводу жилых помещений,1
Низовский завод вводят в эксплуатацию в 2020 году,1
Вину оштрафовали за нарушение срока сдачи ледокола в серию 22,1
«Ленстрортрест» задержал ввод жилой комплекса «ИQ Г»,1
"Некоторые объекты были завершены, но объекты не могли бы быть реализованы.",1
В июнь 2015 года в Васильково было введено в эксплуатацию,1
В Дубровке и Перепечино не было расселен никто,1
Компания «квартстрой» сообщила о перерыве сроков для дольщиков,1
В России начнут проводить трансляцию чемпионата мира по хоккею,1
Компания ArtСтройТехнo не завершила стройку и не включила в эксплуатацию,1
Компания ВсевИнвестСтрой подтвердила задержку ввода в эксплуатацию в 2020 году,1
Сроки запуска алюминия Тайшетского завода могут быть перенесены,1
Затянутая стройка очень напрягает.,1
Срок переноса срока не связан с задержкой строительства жилых домов,1
В Пензе возбудили уголовное дело после задержки лифта в жилом доме,1
Генпрокуратура РФ выявила 17 тыс. различных заболеваний в 2014 году,1
"В ЖК ""Квартал ""Европейский"" перенесены сроки аренды",1
Строительство начнется в ближайшие два года,1
Причиной задержки возобновления строительства стало продление срока строительства,1
Возможное сокращение сроков эксплуатации трубопроводов «Пурпе» -,1
"По данным ""Ъ"", строительство ледокола ""Арктика"" будет завершен",1
В начале 2019 года рост темпов строительства вырос на 2%,1
Балтийский завод рассказал о сроках строительства ледоколов для атомной энергетики,1
Сроки передачи отдельного участка дороги постоянно сдвинулись.,1
Сроки аренды отдельных участков дороги сдвигались неоднократно.,1
"Строительство не идет гладко, доставка корпусов до полутора километров",1
Текслер назвал срыв с руководством Усть-Катава трагедией,1
Ввод Низовского водохранилища в эксплуатацию продлен на два года,1
«Норман» столкнулся с серьезными задержками сроков введения жилых помещений,1
Минкультуры рассказало о задержке ввода в эксплуатацию объектов,1
Это относится к смещению сроков начатого эксплуатационного процесса.,1
Сроки ввода новой крупной магистрали в Нижегородскую область сорвались,1
Сдача дома обещали в мае 2018 года,1
Дата ввода в эксплуатацию объекта перенесена на 31 июня 2019 г.,1
"Вместо того, чтобы завершить строительство в конце 2015 года, дом будет завершен в конце 2016 г.",1
Строительство здания в Тюмени началось на средствадольщиков,1
В начале 2019 года темпы роста строительства упали из-за общего спада,1
Прошлой зимой стройка почти прекратилась.,1
Coca-Кола перенесла сроки запуска безалкогольного напитка,1
"Сейчас считается долгостроем любой дом, который строится, если его срок окончен.",1
"В Едином реестре застройщиков уже 30,5% жилья находятся в аренде",1
Квартиру обещали ввести в эксплуатацию до конца 2016 года,1
В России начнут вводить дорогу к ЧМ по футболу,1
В марте 2016 г. завершилось строительство жилого корпуса,1
Киевские застройщики стали чаще сорвать сроки строительства,1
В Троицком административном округе задержали сроки ввода домов в эксплуатацию,1
ООО «ВТУС» заплатит 400 тыс. руб. за задержку продажи,1
Срок сдачи домов может быть продлен до конца года,1
"Первые два жилых дома ЖК ""Созвездие"" сдали в 2016 году",1
Глава Минобразования Челябинской обл. рассказал о срыве сроков обучения,1
Ростовская школа не сможет принять студентов сразу,1
Второй очередный жилой комплекс «Архимед» пожаловался на жалобу дольщиков,1
Затянувшийся строй сильно заставляет напрягаться.,1
"Строительство ЖК ""Любимов"" начнется в феврале",1
Введен в эксплуатацию жилой комплекс с подземными автостоянками,1
Первые два дома изначально планируют сдать в май 2018 года.,1
Ввод в эксплуатацию жилых домов перенесен в два раза,1
В Сургутском районе компания ДЭП построила двух многоквартирных домов,1
ЕРЗ прокомментировал данные об задержках,1
Киевские застройщики стали чаще сбивать сроки,1
Вопрос по срокам сдачи многоквартирного дома в воздухе повис.,1
Сроки сдачи из-за плохого подрядчика неоднократно перенесены,1
"Дорогие дольщики, я хочу прощения перед Вами",1
Первая очерёдная часть проекта вводится в эксплуатацию в ближайшие полгода,1
Текслер прокомментировал срыв с руководством Усть Катава,1
Сроки передачи отдельного участка дороги сдвигались неоднократно.,1
Еще три года назад строительство двух других «заморозили»,1
Эксперт оценил запрос регулятора в датском правительстве,1
"Госстройнадзор одобрил решение о вводе в эксплуатацию нового ""проблемного"" объекта",1
Сроки доставки объекта неоднократно переносились.,1
Алиханов заявил о готовности к реализации нового проекта,1
Сдавать дом обещают в мае 2018 года,1
Сроки передачи участков в долевое строительство устанавливаются,1
Застройщики ожидают задержки в сдаче жилья в аренду,1
Низовский завод вводится в эксплуатацию в 2020 году,1
США вводят в эксплуатацию самой современной и дорогой истребитель,1
Сроки сдачи в связи с недобросовестной подрядчиком неоднократно перенесены,1
В Ростовской школе не будет принимать учеников сразу,1
В Москве более 45% новостроек не было сдано,1
В Троицком административном округе продолжается ввод в эксплуатацию жилых домов,1
"Мы обещаем, что будет введен в эксплуатацию декабрь 2004 года.",1
Срок эксплуатации новостройки - 2–3 месяца.,1
ООО «ВТУС» заплатит более 400 тыс. рублей за замедление сдачи,1
В столице более 45% новостроек не было сдано,1
ООО «ВО ТЕХНОПРОМЭКС» обратилось в Министерство энергетики РФ,1
Руководство компании официально опровергло решение о сдаче первой очереди строительного комплекса,1
«Больверка» опровергла заявление о недопуске к строительству в ближайшие дни,1
Строительство крупной магистрали в Нижегородском районе вновь сорвало сроки,1
Пока ни один из зданий в эксплуатацию не введен.,1
"«В 2017 году конфликт начался уже потому, что они и стали конфликтовать, ведь они и стали конфликтовать.",1
Запуск Тайшетского Алюминиевого Завода может быть перенесен,1
В Дубровке и Перепечино еще не было расселений,1
В Ростове полицейские штрафовали за срыв срока ремонта образовательной школы,1
Информацию о продлении срока эксплуатации опубликована исключительно на официальном сайте,1
Компания Coca‐Cola перенесла сроки запуска безалкогольного напитка в США,1
Строительство дома в Барнауле: дольщики пожаловались на срыв времени строительства,1
"В результате сроки сорвались, и пришлось перенести.",1
В Барнаулском районе дольщики пожаловались на срыв времени строительства жилого дома,1
"Задержки на аренду объектов составляет более 1,5 месяца.",1
В школе No60 оштрафовали за срыв срока ремонта,1
В Оренбурге детская поликлиника не работает в срок,1
Сроки ввода в перинатальные центры РФ нарушены,1
Застройщик заявил о задержке ввода в эксплуатацию,1
Дольщики строящегося корпуса ждут сдачи дома в ближайшее время,1
ООО «ВО «Техноэкспорт» обратилось в Министерство энергетики РФ,1
"Проекты ""Сколково"" могут завершиться с задержкой в ближайшее время",1
"Срок исполнения проектов НГСК и ""Балтийская газхимия""",1
В связи с недобросовестной подрядчиком сроки аренды неоднократно перенесены,1
Белоус покинул пост вице-премьера Александра Алиханова,1
Счетной палата выясняет причины срыва срока срока срока срока срока срока срока срока срока срока срока срока срока с,1
В Ростове подряд оштрафованы за срыв работы школы,1
В УрФУ началось строительство циклотрона ядерного центра,1
В сети появилось видео отсутствия автоматической мочи колес на участках строящегося дома,1
Петербургский госстройнадзор выразил соболезнования в связи с вводом в эксплуатацию первого долгосрочного строительства,1
В Красноярске началось строительство Всемирного зимнего универсиада,1
"По данным единого реестра стройщиков, уже 30,5% жилья было уже продано",1
"Строительство идет не в порядке, сдача корпусов идет до полутора часов",1
Балтзавод не планирует приступать к работе,1
Срок ввода в действие «Северного потока – 2» продлен до 1 января,1
Дольщики очереди «Архимед» пожаловались на жалобу,1
Их сейчас меньше 10 человек,1
Запад-2 должен был быть введен в эксплуатацию в начале 2016 года,1
Строительство жилого дома на Ленинской улице выросло до графика,1
В Костроме не смогли сдать в аренду еще несколько участков долевого строительства,1
В Алтайской области банкротство затруднило исполнение обязательств перед правительством,1
В Киеве застройщики стали чаще скидывать сроки застройщиков,1
"В ЕР рассказали о том, что застройщики сдают дома",1
Даже крупнейшие компании допустили задержку при сдаче жилья в эксплуатацию — Daily Storm,1
"По словам строителей, задержка стала причиной форс-мажоров",1
"Единый реестр застройщиков считает, что они сдают дома",1
Группа компаний «ВКБ Новостройки» перенесла аренду в Краснодаре,1
Но стройка остановилась на втором этаже,1
Никитин посетил Первомайск на рабочем визите,1
Текслер назвал срыв с руководством Усть Катава трагедией,1
Низовский завод введен в эксплуатацию в 2020 году,1
"Единый реестр застройщиков сообщил, что сдает дома",1
В Кирове нарушили срок на передачу участникам долей строительства,1
«Стройград» начал стройку у Пушкаревского шоссе,1
"""Унистрой"" прокомментировала информацию ЕРЗ об задержках",1
В Алтайской области банкротство опровергло информацию о банкротстве,1
В «Транснефти» задержали ввод второго очереди нефтегазового комплекса,1
Ввод в строй первого строящегося ЖК «Домашний»,1
В Москве не было сдано более 45% новостроек,1
Строительство улицы Большевистская в Москве пройдет до конца зимы,1
"«Стройград» запустил грандиозное строительство у кольца ""Пушкаревский""",1
В Шереметьеве объявили о завершении ввода в эксплуатацию самолета,1
Сроки ввода детей в перинатальные центры отменили из-за коронавируса,1
Срок аренды жилого комплекса в «Квартале Европейский» продлен до 1 января,1
Строительство жилого дома на Ленинской улице вышло из строя,1
Ввод космодрома «Восточный» отложился из-за новых изменений в законодательстве,1
Строительство зоопарка в Москве планируется завершить до 1 млрд руб.,1
Балтийский ледокол затянул сроки по строительству атомного ледоколова,1
Суд возбудил иск против покупателя квартиры в Заволжье,1
Путин и Медведев обсудили «пятую линию» с Путиным,1
В Новограде введены в эксплуатацию новые корпуса Павлино,1
ГК «Стройинвест» ИС возвращается в отставку в течение 23 месяцев,1
Ввод в строй первой очереди введен в эксплуатацию,1
«Гарант» считает полугодичную задержку строительства,1
В Госстройнадзоре рассказали о состоянии последних «проблемных» объектов,1
Срок аренды жилья в Тюмени продлили до конца января,1
Детская поликлиника в Оренбурге не работает в срок,1
"Все, что происходит, это переносы сроков, а договоренности.",1
"ЖК ""Березки"" обеспокоен серьезной задержкой",1
Строительство начнется в течение двух лет,1
Никитин рассказал о ситуации в Первомайске,1
Школа приостановилась в связи с срывом графика работы,1
В Сургутской области построили два многоэтажных дома,1
В начале 2019 года рост темпов строительства сократился в связи с общим спадом,1
Строительство школы в Москве завершено после задержания строителей,1
"В ЖК ""Любимов"" планируют построить новый жилой комплекс",1
Ввод детского сада может быть задержан из-за перерыва в эксплуатации,1
В Москве введут более 7 тысяч квартир,1
Строительство Международного терминала яхтенных марок в Калининграде,1
Застройщики рассказали о задержках сдачи в эксплуатацию жилья,1
Ввод космодрома «Восточный» откладывается в связи с изменениями в законодательстве,1
Квартира была сдана в конце 2018 г.,1
Суд обязал «Тин группу» выплатить 50 участникам акции,1
Ввод жилья в эксплуатацию затянулся из-за нарушений законодательства,1
"Срок выполнения проектов ""НГСК"" и ""Балтийская газхимия""",1
В Сургутской области строительство двух многоквартирных домов началось в феврале,1
"По данным ЕЕР, 30,5% жилья в настоящее время уже было построено",1
"По словам строителей, причина задержки стала форс-мажором",1
"Заказчик попытался вернуться с денег, потраченных на несданное",1
"Сдавать объект нужно в сентябре, если срок не установлен.",1
Балтийский ледовод вновь не выдержал сроков сдачи,1
ООО «Инвестпроект» построит дом с нулевым сроком строительства,1
Балтийский ледокол затягивает строительство атомного ледоколова,1
Застройщик сможет погасить долг за сдачу дома в эксплуатацию,1
«На самом деле мы обратились за просьбой продлить срок ввода.,1
"Заказчик попытался вернуться с денег, которые потрачены на неданный",1
«Кубанская марка» задержала срок аренды дома на Василия Вавилова — Daily Storm,1
Строительство образовательной школы в ближайшее время приостановили из-за угрозы срыва графика работы,1
Строительство ЦКАД будет отложено до 2022 г.,1
Путин предложил правительству проверить удорожание ЦК,1
Строительство на Большой Победе пройдет до конца зимы,1
Банкротство Алтайского края привело к невозможности исполнения обязательств,1
Однако задержки сроков приема составили почти 700 суток.,1
Строительство улицы Большевистская начнется до конца зимы,1
Квартиры микрорайона Заря для детей-сирот и детей-сирот предоставляются,1
Введенный в эксплуатацию детский сад может быть снят из-за превышения зарплаты,1
В Самаре назвали причину строительства ЖК «У парка»,1
«Больверка» намерена уйти от графика строительства на 40 суток,1
"Задержка строительства домов была прекращена, поскольку мы не обошли экономику",1
В Владимирской области дольщики пожаловались на затягивание с жильем,1
"Сейчас считается долгостроем любой дом, который строится, если его срок завершится.",1
"«Квадро» и ""РусГидро"" оштрафованы за нарушение контракта с «Квадро»",1
Вместо окончания 2017 года нового срока передачи жилья назначен 31 марта,1
В Единой реестре неисправных объектов обновляется список проектов,1
В Москве начались очереди по вводу новых домов в эксплуатацию,1
В июнь 2015 г. Васильково было введено в эксплуатацию,1
Недвижимость в Новосибирске: покупатель отсудил за аренду квартиры в двухкомнатной квартире,1
Компания «АртурСтройТехНО» не была завершена строительством и не будет введена в эксплуатацию,1
С третьего этапа «Рабочей документации и ввода КИСУ»,1
"Заказчик попытался свернуть деньги, которые потрачены на несданные",1
В Владимирской области дольщики жаловались на затягивание с жильем,1
В Чкаловском районе не удалось сдать жилье в аренду,1
В Совете оценили идею ввода в эксплуатацию квартиры «Квартала Европейский»,1
«РусГидро» оштрафован за нарушение законодательства о вводе мощностей из-за просрочки ввода,1
"ЖК ""Березки"" обеспокоен серьезными задержками",1
Директор лицейского управления объяснил задержку ремонтов бездействием подозреваемых в нарушении законодательства,1
Сдача домов была прекращена из-за экономических проблем,1
"Сдача дома ""Апельсин"" застройщиком СМУ КПД",1
Срок строительства нового зоопарка в Москве превышает 1 млрд руб.,1
«РусГидро» не впервые подвергается штрафу за задержку ввода газа,1
В школе в Москве приостановили работу из-за сокращения графика работы,1
Застройщик хочет погасить долг за сдачу дома в эксплуатацию,1
Застройщики не сообщили о нарушении законодательства о долевом строительстве,1
"Заказчик рассчитывал вернуть деньги, которые были потрачены на неданный",1
Причиной задержки возобновления строительства может стать продление срока строительства,1
В начале 2019 года темпы строительного спада снизились,1
Петербургский государственный стройнадзор получил разрешение о вводе в эксплуатацию первого долгосрочного строительства,1
Это требует дополнительных финансовых средств и может спровоцировать задержку ввода в эксплуатацию домов,1
В Финляндии перенесли срок ввода в строй АЭС «Ханкикиви»,1
Квартиры для детей-сирот в Заре предоставляются для детей-сирот и детей-сирот,1
"Что необходимо знать, почему дома задерживаются в эксплуатации?",1
"«ИнтеКо» взыскало 1,5 млн рублей за содержание",1
Нарушен срок ввода в работу десяти перинатальных центров,1
В Ленобласти завершили строительство двух заводов для производства метанола,1
Построить первый участок Твери планируют не раньше 2021 года,1
Никитин провел рабочий визит в Первомайск,1
Никитин прибыл в Первомайск на рабочий визит,1
В Красноярске завершилось строительство Всемирного зимнего универсиада,1
"Названы субъекты Российской Федерации, где вводят в эксплуатацию детсады",1
Компания «квартстрой» сообщила дольщикам о прекращении сроков строительства,1
«РусГидро» оштрафован за просроченную вводную мощность,1
В России начали вводить новые жилые дома,1
Совет рынка вновь штрафовал «Русгидро» и «РусГидро»,1
Ввод в строй космодрома «Восточный» отложился из-за новых изменений в законодательстве,1
В Ростовской области оштрафованы за срыв работы школы,1
Строительство зоопарка в Москве может быть завершено до 1 млрд руб.,1
"Судебное заключение поясняет, что сроки выполнения работ по подрядным работам ограничены.",1
Компания «Больверке» впервые вышла в отставку от графика строительства в ближайшие дни,1
