,sentence,label
72,Пресс-служба строительной компании «Унистрой» прокомментировала Inkazan появившиеся данные Единого реестра застройщиков (ЕРЗ) о задержках ввода объектов.,1
73,Детскую поликлинику в Орджоникидзевском районе в срок не сдадут.,1
74,"Новая школа в Красном Аксае на 1,1 тыс. мест не сможет сразу принять учеников из-за задержек с вводом объекта в эксплуатацию и оформлением документации, рассказала начальник управления образования Ростова Виктория Чернышева.",1
75,"Дольщики жалуются на срыв сроков строительства дома по адресу Павловский тракт, 291 в Барнауле (ЖК «Олимпийский»).",1
76,"Бизнесвумен взыскала с «Интеко» 1,5 млн за срыв сроков сдачи квартиры за 58 млн руб.",1
77,"Ранее участники долевого строительства, обеспокоенные задержкой сроков сдачи домов, приходили на личный приём к губернатору Орловской области Андрею Клычкову и обращались на «Прямую линию с Владимиром Путиным».",1
78,"Строительство дома №19 на ул. Ленина по программе переселения из ветхого аварийного жилья отстает от графика –  информация прозвучала на выездном совещании, состоявшемся на строительной площадке 6 июля, сообщает корреспондент «ЭВ».",1
79,"В марте 2019 года губернатора Антон Алиханов не исключил, что в графике реализации проекта могут возникнуть некоторые «задержки».",1
80,"Компания ""Кубанская Марка"", которая также входит в группу компаний ""ВКБ-Новостройки"" и строит дома в Ростове, задержала сроки сдачи дома на Вавилова, 7 на год, еще более двух лет дополнительно будут ждать свои квартиры дольщики по улице Теряева, 5.",1
81,"Дольщикам второго корпуса надоело ждать сдачи дома, начальные сроки которой давно прошли.",1
82,Пока формально ни одно из зданий не введено в эксплуатацию.,1
83,Серьезная задержка строительства зарегистрирована в новостройке «Балтийская волна» от строительной компании «РАНТ».,1
84,"Директор по развитию ГК добавил, что стройка затянулась по двум причинам: «В начале 2018 года темпы строительства снизились в результате общего спада на рынке, что привело к незначительной задержке ввода объектов в эксплуатацию, а осенью того же года регистрация новых договоров долевого участия в строящихся домах была остановлена в соответствии с изменениями, внесенными в 214-ФЗ, что привело к дефициту финансирования».",1
85,"Сроки строительства 4 тыс. жилых комплексов общей площадью 40 млн кв. м из 126 млн, которые возводятся сегодня, могут быть перенесены из-за проблем с получением проектного финансирования",1
86,"Власти Петербурга согласовали перенос сроков завершения строительства трех фармзаводов в промзоне «Пушкинская»: для ООО «Неон» срок продлен до апреля 2016 года, для ООО «Герофарм» – до января 2017 года, для ООО «Самсон-Мед» – до марта 2018 года.",1
87,"Бизнесмен Сухов пообещал дольщикам, что долгострой на ул. Большевистской сдадут в эксплуатацию до начала зимы.",1
88,Вместо конца 2015 года дом будет введен в эксплуатацию в конце 2016 года.,1
89,"Пример – сдача дома «Апельсин» застройщика «СМУ КПД», где не введены, как обозначено в письме, три дома, сроки передачи которых истекли 21.12.2015.",1
90,Руководство компании перенесло официальную сдачу 1 очереди строительства со 2 квартала 2017 года на 3 квартал,1
91,"«Отставание в графике строительства ЖК «Любимов» не скажется на качестве», — Максим Решетников
Имеющееся отставание от графика строительства двух домов первой очереди ЖК «Любимов» в Березниках никак не скажется на качестве работ, сообщил губернатор Пермского края Максим Решетников.",1
92,"Новый запрос датского регулятора может привести к задержке в реализации ""Северного потока — 2"".",1
93,«Стройград»: грандиозная ульяновская стройка (с дольщиками) у «Пушкаревского кольца» отстала на два года.,1
94,"На сегодняшний день на территории Кировской области имеются два объекта строительства, по которым нарушен срок передачи их участникам долевого строительства.",1
95,Для справки - с 2017 года там начались задержки по вводу в эксплуатацию новых жилых домов.,1
96,"Представители «Тюменьэнергостроя» (ТЭС) объяснили дольщикам, почему сорвался срок сдачи эксплуатации дома ГП-2 в ЖК «Славутич» назначенный на 4 квартал 2018 года.",1
97,"Изначально дом планировали достроить до 20 мая 2018 г., но затем сроки перенесли на IV кв. 2018 г.
Изначально планировали сдать первые два дома в мае 2018 г., однако срок сдачи первого корпуса перенесли на полгода позже, второго — почти на 2 года.",1
98,"Он напомнил, что первый раз срок переносился из-за задержки по независящим от компании причинам с поставкой основного оборудования, из-за чего сроки строительства ТЭС изначально существенно сдвинулись.",1
99,"Задержка сдачи домов произошла, потому что нас не обошли экономические трудности в стране, финансирование и кредитование банка в определенный момент было приостановлено.",1
100,"Член инициативной группы Александр Назаров сразу же напомнил собравшимся, что возведение жилого комплекса остановилось в марте 2016 года - и с тех пор утекло немало воды.",1
101,В столице затягивают сроки ввода в эксплуатацию офисной недвижимости.,1
102,"Проекты, которые реализуются с участием бизнесменов Михаила и Саит-Салама Гуцериевых на территории «Сколково», могут быть завершены с задержкой из-за финансовых проблем инвесторов, рассказал RNS первый заместитель генерального директора объединенной дирекции по управлению активами и сервисами фонда «Сколково» (ОДАС «Cколково») Сергей Иванченко.",1
103,ООО «ВТУС» заплатит почти 400 тысяч рублей за задержку сдачи дома,1
104,"Строительство ЖК ""У парка"" в Самаре встало из-за конфликта застройщика и генподрядчика.",1
105,Киевские и пригородные застройщики начали чаще срывать сроки ввода домов в эксплуатацию.,1
106,"Соответственно сроки, например, в ЖК «Квартал «Европейский», переносятся уже не первый раз.",1
107,"Строительство идёт не гладко, задержка сдачи корпусов доходит до полутора лет.",1
108,"Открыть полосу планировалось 1 сентября, но 30 августа Шереметьево объявило о том, что ввод в эксплуатацию переносится на более поздний срок, не уточняя причины переноса и нового срока запуска.",1
109,"Дольщики двух 3-этажных домов, возводимых московской компанией ООО СТК «Стратегия» в поселке Боголюбово Владимирской области, жалуются на затягивающиеся сроки строительства.",1
110,Нарушены сроки ввода по десяти ​перинатальным центрам.,1
111,"За просрочку ввода в эксплуатацию энергоблока Зарамагской ГЭС-1 в Северной Осетии в августе Наблюдательный совет ассоциации ""НП Совет рынка"" (регулятора энергорынков в РФ) принял решение оштрафоватькомпанию ""Русгидро"", сообщает РИА Новости.",1
112,"ООО ""ДонБиоТех"" заявило об очередном переносе сроков завершения строительства завода по глубокой переработке зерна в Волгодонске, теперь уже на 2017 год.",1
113,"Накануне петербургский Госстройнадзор выдал разрешение на ввод в эксплуатацию последнего долгостроя от ГК «Город» — новоселы в ближайшее время, наконец, заедут в 589 квартир ЖК «Прибалтийский».",1
114,"Дольщики объектов компании, совет директоров которой возглавляет Андрей Рябинский, известный также как глава крупнейшей в РФ промоутерской компании – «Мир бокса», – уже больше года жаловались на постоянные срывы сроков строительства.",1
115,Васильково был введен в эксплуатацию еще в июне 2015 года с задержкой на целых пять лет.,1
116,Из-за недобросовестного подрядчика сроки сдачи неоднократно переносили.,1
117,"В итоге сроки были сорваны, что привело к необходимости перенести сдачу объекта в эксплуатацию.",1
118,"Ассоциация ""Совет рынка"" не первый раз подвергает энергетическую компанию штрафу за просрочку ввода мощностей — в июне ""Русгидро"" уже оштрафовали за задержку сроков.",1
119,"Минкультуры также пояснило, что основными причинами задержки ввода объектов в эксплуатацию являются банкротство и несостоятельность генподрядчиков, разработка индивидуальных проектных решений, одновременное решение задачи как сохранения уникальности культурного объекта, так и придания ему новых современных требований с использованием новейших технологий, а также быстрое устаревание технологического оборудования и дополнительные объемы работ, не предусмотренные проектом.",1
120,"Затем ввод переносился на первое полугодие 2014 года, потом — на вторую половину 2015 года.",1
121,Первые два дома ЖК «Созвездие» с задержкой сдали в 2015 и 2016 году,1
122,Строительство школы вскоре приостановилось из-за срыва графика производства работ компанией-подрядчиком.,1
123,"У ООО «Гранид», которое неоднократно переносило сроки окончания строительства по адресу: Молодежная, 111, работа теперь застопорилась из-за отсутствия взаимопонимания с Водоканалом по сумме оплаты за подключение к сетям, притом что срок окончания строительства в середине ноября.",1
124,Васильково был введен в эксплуатацию еще в июне 2015 года с задержкой на целых пять лет.,1
125,Дом № 2 до сих пор не сдан в эксплуатацию.,1
126,"Как пояснил начальник департамента строительного надзора Геннадий Наумов, значительные задержки в строительстве спортзала связаны с недобросовестностью подрядчиков, а также – с пробуксовкой заказчика – МКУ «Строитель».",1
127,Первая очередь проекта введена в эксплуатацию с задержкой в почти полгода.,1
128,"Так, из-за нарушения ресурсоснабжающей организации затянулся ввод в эксплуатацию жилого дома ООО «Горизонт».",1
129,Затянувшаяся стройка сильно напрягает.,1
130,Задержка сроков ввода в эксплуатацию домов в жилом комплексе “Остров Эрин” в Троицком административном округе столицы составляет порядка года,1
131,Суд обязал ООО «Тин Групп» выплатить более 50 участникам долевого строительства неустойку за нарушение сроков передачи объектов строительства на общую сумму более 5 миллионов рублей.,1
132,Однако задержка сроков сдачи составила почти 700 дней.,1
133,"Появившаяся в СМИ информация о ""переносе срока ввода в эксплуатацию аэропорта Хабаровска с 2019 года на 2020 год"" касается исключительно реконструкции части аэродромной инфраструктуры аэропорта Хабаровск, сообщили ИА AmurMedia в ООО ""Управляющая компания КОМАКС"".",1
134,Проблема с нарушением условий по срокам сдачи домов в эксплуатацию в долевом строительстве не смотря на ответственность застройщика является глобальной.,1
135,Сейчас сроки сдачи задержаны более чем на полгода для свыше 100 домов.,1
136,Дату ввода объекта в эксплуатацию перенесли на 31 июля 2019 года.,1
137,"В Сургуте компания «ДЭП», владельцем которой является Копайгора, строит два многоквартирных дома, где есть проблемы с задержкой их ввода в эксплуатацию.",1
138,"Срок ввода в эксплуатацию перинатального центра в Сургуте, который обойдется бюджету ХМАО более чем в 18 млрд рублей, снова перенесен.",1
139,Открытие ЦКАД отложили до 2022 года.,1
140,"Застройщика одного из крупнейших микрорайонов в городе Ростове-на-Дону – жилых комплексов ""Суворовский"" и ""Платовский"" – АО ""Ростовское"" (входит в группу компаний ""ВКБ-Новостройки"") забросали исковыми заявлениями из-за переноса сроков сдачи домов в эксплуатацию, значится в материалах дела Ростовского областного суда.",1
141,"Компания «Квартстрой», которой принадлежит долгострой «Квартал Европейский» в Нижнем Новгороде, уведомила дольщиков о переносе сроков сдачи объектов.",1
142,"На очередном заседании межведомственной рабочей группы по противодействию правонарушениям и преступлениям в сфере долевого строительства жилья, глава «Сибстройсервиса» заявил, что ввод в эксплуатацию дома ГП-5 задерживается из-за отсутствия у застройщика документов на парковочные места.",1
143,"Помимо нашего региона в число субъектов РФ, где готовность детсадов, запланированных к вводу в эксплуатацию в ноябре–декабре этого года не превышает 13%, вошли также Владимирская, Кировская, Новгородская, Оренбургская, Ярославская и Самарская области, Удмуртия, Северная Осетия и Забайкальский край.",1
144,"Сроки сдачи дома в эксплуатацию, заявленные застройщикам уже прошли.",1
145,"Одним из самых «тревожных» объектов ушедшего года, — ЖК «Звезда» от «Строительной корпорации Элис», — вновь задержан.",1
146,Информация о переносе срока ввода в эксплуатацию касается исключительно реконструкции части аэродромной инфраструктуры.,1
147,Ввод в эксплуатацию 1 очереди перенесён на осень.,1
148,"Серьезное отставание от графика и рост стоимости работ привели к тому, что 15 октября 2018 года президент Владимир Путин поручил Счетной палате, Генпрокуратуре и Следственному комитету проверить обоснованность удорожания ЦКАД и выполнение госконтрактов.",1
149,"Задержки в сдаче этих объектов составляют более 1,5 месяцев.",1
150,"Согласно договору, сдать дом обещали к маю 2018 года, потом — к ноябрю того же года.",1
151,"Ранее в социальных сетях и на форумах дольщиков появилась информация, что ввод в эксплуатацию первого пускового комплекса ЖК ""Домашний"" и передача ключей затягиваются на несколько месяцев",1
152,"«К сожалению, строители пока задерживают ввод в эксплуатацию здания школы.",1
